,index,ch1mean,ch1std,ch1median,ch1rme,ch2mean,ch2std,ch2median,ch2rme,ch3mean,ch3std,ch3median,ch3rme,ch4mean,ch4std,ch4median,ch4rme,ch5mean,ch5std,ch5median,ch5rme,ch6mean,ch6std,ch6median,ch6rme,ch7mean,ch7std,ch7median,ch7rme,ch8mean,ch8std,ch8median,ch8rme,ch9mean,ch9std,ch9median,ch9rme,ch10mean,ch10std,ch10median,ch10rme,label
10,10,4.212000000000001,0.41721696993291113,4.42,4.228498551495554,2.4699999999999998,0.4503332099679081,2.34,2.502626620173293,1.456,0.2325510696599782,1.43,1.4707821048680187,2.6260000000000003,0.1087658034494298,2.6,2.627801362355991,2.964,0.1694992625352689,2.99,2.9678746604262116,3.3280000000000003,0.11627553482998895,3.25,3.3296246034650814,3.9,0.09192388155425128,3.9,3.9008665703917633,3.718,0.07120393247567154,3.77,3.718545414540476,2.782,0.0712039324756715,2.73,2.7827288764807827,2.99,0.0,2.99,2.99,0
11,11,4.3420000000000005,0.3964467177313994,4.55,4.35645498083017,2.626,0.4151867049894542,2.34,2.6521274479179917,1.456,0.23255106965997818,1.43,1.4707821048680187,2.704,0.19282116066448715,2.73,2.70949441778351,2.964,0.16949926253526906,2.99,2.9678746604262116,3.354,0.10876580344942974,3.38,3.3554105561018903,3.9260000000000006,0.10876580344942996,3.9,3.927205113054321,3.718,0.07120393247567154,3.77,3.718545414540476,2.7560000000000002,0.058137767414994566,2.73,2.756490522385303,2.964,0.058137767414994636,2.99,2.9644561052577587,0
12,12,4.498,0.07120393247567164,4.55,4.498450844457456,2.5479999999999996,0.5084977876058067,2.34,2.588273555866922,1.3519999999999999,0.33899852507053774,1.43,1.3855829098253196,2.782,0.26957373759326037,2.73,2.7924290501282214,3.0159999999999996,0.2500599928017276,2.99,3.0242817329078324,3.38,0.15921683328090663,3.38,3.382998669819425,3.9520000000000004,0.11627553482998926,4.03,3.953368184219628,3.7699999999999996,0.09192388155425117,3.77,3.7708964451440457,2.782,0.11627553482998916,2.73,2.7839432465479605,2.9899999999999998,0.09192388155425124,2.99,2.9911302211705864,0
13,13,4.42,0.22516660498395394,4.55,4.42458585632599,2.626,0.49842752732970114,2.73,2.663572788568017,1.274,0.3607353600633018,1.17,1.3142222034344118,2.8080000000000007,0.25341665296503313,2.73,2.81713329468096,3.068,0.23615672761960424,3.12,3.0752625904140283,3.432,0.14822280526288817,3.38,3.4345596515419556,3.9780000000000006,0.11627553482998901,4.03,3.9793592449036317,3.7700000000000005,0.09192388155425113,3.77,3.7708964451440457,2.7039999999999997,0.23255106965997815,2.73,2.711988200564302,3.0160000000000005,0.10876580344942988,2.99,3.0175685576304643,0
14,14,4.68,0.6878953408767935,4.55,4.72027117865065,2.34,0.45961940777125576,2.34,2.3758366947246183,1.274,0.36073536006330176,1.17,1.3142222034344115,3.016,0.32369738954770694,2.99,3.0298646834471006,3.2239999999999993,0.21361179742701453,3.12,3.229656328465925,3.406,0.19282116066448726,3.38,3.4103636169769342,3.9520000000000004,0.1744133022449837,4.03,3.9550777489197357,3.692,0.25341665296503313,3.77,3.6989512027059774,2.7299999999999995,0.24320773014030633,2.73,2.7386529535521658,2.9899999999999998,0.13000000000000014,2.99,2.9922600154398347,0
15,15,4.706,0.6842002630809199,4.55,4.745623246740095,2.444,0.5151019316601326,2.73,2.487046441062169,1.3,0.37901187316494456,1.17,1.3434731110074365,3.042,0.29928247526375473,2.99,3.0537550654890446,3.25,0.18384776310850223,3.12,3.254157341002429,3.4319999999999995,0.19715476154534023,3.51,3.4365273169291117,3.9259999999999997,0.1694992625352689,4.03,3.928926061915648,3.692,0.25341665296503313,3.77,3.6989512027059774,2.756,0.2500599928017276,2.86,2.765060577998247,2.964,0.1424078649513433,2.86,2.9667355797239496,0
16,16,4.7059999999999995,0.6842002630809197,4.55,4.745623246740095,2.418,0.491599430430915,2.73,2.457653352285468,1.3519999999999999,0.3745263675630862,1.43,1.3928819045418028,2.9899999999999998,0.3314362683835309,2.86,3.004659714510114,3.25,0.18384776310850215,3.12,3.254157341002429,3.4579999999999997,0.19715476154534034,3.51,3.4624933212931976,3.9260000000000006,0.16949926253526895,4.03,3.928926061915648,3.692,0.253416652965033,3.77,3.6989512027059774,2.7819999999999996,0.25341665296503313,2.86,2.7912183719659054,2.9639999999999995,0.14240786495134322,2.86,2.9667355797239496,0
17,17,4.758,0.6666858330578204,4.68,4.795220537159891,2.6260000000000003,0.46328177171134205,2.73,2.6584920537778554,1.456,0.2818332840528243,1.43,1.4776603127918135,2.964,0.32369738954770694,2.86,2.978106781161481,3.1980000000000004,0.17441330224498353,3.12,3.201802617276712,3.406,0.16949926253526873,3.51,3.409372376259302,3.9,0.15921683328090663,3.9,3.9025991339106305,3.6659999999999995,0.2325510696599781,3.77,3.671895968025238,2.7559999999999993,0.2325510696599782,2.86,2.7638379113110085,2.9379999999999997,0.11627553482998931,2.86,2.9398401317078453,0
18,18,4.81,0.6027852022072205,4.68,4.840121899291381,2.6,0.45961940777125604,2.73,2.632299375071156,1.5599999999999998,0.15921683328090658,1.56,1.5664865144647753,2.964,0.3236973895477069,2.86,2.978106781161481,3.1980000000000004,0.17441330224498353,3.12,3.201802617276712,3.38,0.15921683328090644,3.38,3.382998669819425,3.874,0.14240786495134314,3.9,3.876093394127649,3.6399999999999997,0.22516660498395413,3.77,3.6455671712368702,2.86,0.0,2.86,2.86,2.912,0.07120393247567175,2.86,2.91269634531305,0
19,19,9.78,11.69571930237726,4.68,14.320624288067892,2.496,0.6842002630809199,2.73,2.5699260689755263,1.326,0.3834449112975683,1.43,1.369634987870856,2.7560000000000002,0.19282116066448707,2.73,2.761390953849165,3.0420000000000003,0.1744133022449837,3.12,3.0459973736035955,3.353999999999999,0.21361179742701464,3.38,3.3594374529078523,3.874,0.14240786495134325,3.9,3.876093394127649,3.692,0.116275534829989,3.77,3.6934644982725904,2.7299999999999995,0.2906888370749727,2.86,2.742353004264768,2.73,0.44085144890314243,2.86,2.7583292044279273,0
20,20,9.52,11.850858618682445,4.55,14.247269212027966,2.184,0.819103168105215,2.6,2.303605869067016,1.04,0.6234580980306536,1.43,1.1800677946626625,2.704,0.19282116066448737,2.73,2.70949441778351,2.964,0.2136117974270148,3.12,2.9701515112869243,3.25,0.243207730140306,3.38,3.2572718646130845,3.822,0.1744133022449836,3.9,3.8251823485946392,3.5879999999999996,0.21753160689885964,3.64,3.5932714898821656,2.6,0.35601966237835786,2.86,2.619427418349285,2.5479999999999996,0.5484706008529538,2.86,2.594794789573927,0
21,21,9.208000000000002,12.033543534636836,4.29,14.16446963355847,1.846,0.8836175643342544,1.3,2.0080687239235617,0.8320000000000001,0.6342081677178244,0.65,1.0069756700139283,2.704,0.1928211606644874,2.73,2.70949441778351,2.886,0.21361179742701494,2.73,2.892317409967309,3.146,0.2136117974270146,2.99,3.1517963132156877,3.7439999999999998,0.14240786495134314,3.64,3.7461660401001984,3.5100000000000002,0.20554804791094472,3.51,3.5148115169949015,2.444,0.38344491129756814,2.21,2.4679465148175312,2.3400000000000003,0.5957348403442594,1.95,2.39989999791658,0
22,22,8.870000000000001,12.214890502988554,3.38,14.072659308034142,1.456,0.6525948206965789,1.3,1.568642725415829,0.5980000000000001,0.5711129485487088,0.39,0.7864731400372171,2.6260000000000003,0.10876580344942971,2.6,2.6278013623559904,2.8080000000000003,0.17441330224498347,2.73,2.8123299948619116,3.068,0.17441330224498353,2.99,3.0719635414503212,3.692,0.11627553482998895,3.64,3.693464498272591,3.432,0.14822280526288814,3.38,3.4345596515419556,2.288,0.32629741034828946,2.21,2.306538532086555,2.132,0.4829285661461747,1.95,2.1753160689885966,0
23,23,8.688,12.306627076498254,3.38,14.022974006964429,1.144,0.14240786495134317,1.04,1.15106906830129,0.312,0.21753160689885967,0.26,0.3676955262170048,2.6,0.0919238815542511,2.6,2.6012996751623985,2.756,0.05813776741499453,2.73,2.756490522385303,2.99,0.0,2.99,2.99,3.6660000000000004,0.05813776741499453,3.64,3.6663687757780177,3.38,0.0919238815542511,3.38,3.3809998521147553,2.184,0.10876580344942967,2.21,2.1861655929961024,1.924,0.058137767414994504,1.95,1.9247025744254618,0
24,24,3.1979999999999995,0.19715476154534017,3.25,3.202858098636279,1.092,0.11627553482998902,1.04,1.0969412017059073,0.20800000000000002,0.11627553482998906,0.13,0.23255106965997815,2.652,0.07120393247567153,2.6,2.6527645956624197,2.7819999999999996,0.07120393247567144,2.73,2.7827288764807827,2.99,0.0,2.99,2.99,3.6659999999999995,0.05813776741499445,3.64,3.6663687757780177,3.354,0.058137767414994566,3.38,3.354403076554754,2.184,0.10876580344942964,2.21,2.1861655929961024,1.924,0.058137767414994476,1.95,1.9247025744254618,0
25,25,3.146,0.16949926253526873,3.12,3.1496507742922866,0.9880000000000001,0.11627553482998905,1.04,0.9934586050762257,0.23399999999999999,0.10876580344942982,0.26,0.2534166529650331,2.678,0.07120393247567154,2.73,2.6787571745120906,2.808,0.0712039324756715,2.86,2.808722129367731,3.0160000000000005,0.05813776741499453,2.99,3.016448242552821,3.6660000000000004,0.058137767414994504,3.64,3.6663687757780177,3.38,0.0,3.38,3.38,2.21,0.12999999999999998,2.21,2.2130567096213327,1.924,0.058137767414994476,1.95,1.9247025744254618,0
26,26,3.224,0.1694992625352687,3.25,3.227562547806006,0.9620000000000001,0.11627553482998909,1.04,0.9676052914282766,0.182,0.0712039324756716,0.13,0.19282116066448726,2.652,0.0712039324756715,2.6,2.6527645956624197,2.8339999999999996,0.058137767414994566,2.86,2.8344770240734003,3.0420000000000003,0.07120393247567168,2.99,3.0426665936313166,3.6660000000000004,0.058137767414994566,3.64,3.6663687757780177,3.354,0.05813776741499453,3.38,3.354403076554754,2.2359999999999998,0.10876580344942974,2.21,2.2381152785323635,1.95,0.0,1.95,1.95,0
27,27,3.25,0.1299999999999999,3.25,3.2520793348256434,0.9100000000000001,0.13,0.91,0.9173984957476222,0.156,0.05813776741499454,0.13,0.16443843832875574,2.652,0.07120393247567154,2.6,2.6527645956624197,2.86,0.0,2.86,2.86,3.0680000000000005,0.0712039324756715,3.12,3.068660945754679,3.6660000000000004,0.058137767414994566,3.64,3.6663687757780177,3.3280000000000003,0.07120393247567168,3.38,3.3286093192202655,2.2619999999999996,0.07120393247567154,2.21,2.2628963741187973,1.924,0.05813776741499447,1.95,1.9247025744254616,0
28,28,3.224,0.10876580344942974,3.25,3.225467407989112,0.884,0.10876580344942983,0.91,0.8893368315773277,0.182,0.0712039324756716,0.13,0.19282116066448726,2.678,0.0712039324756715,2.73,2.6787571745120906,2.86,0.0,2.86,2.86,3.9,1.8176770890342433,3.12,4.225299989349869,3.6399999999999997,0.0,3.64,3.64,3.3019999999999996,0.0712039324756715,3.25,3.3026141161207434,2.2359999999999998,0.058137767414994566,2.21,2.236604569431083,1.924,0.05813776741499449,1.95,1.9247025744254616,0
